0_o	-0.3	0.78102	[0, -2, 0, 1, 0, 0, -1, 0, -1, 0]
:'(	-2.2	0.74833	[-2, -1, -2, -2, -2, -2, -4, -3, -2, -2]
:')	2.3	0.78102	[3, 1, 3, 2, 2, 2, 2, 4, 2, 2]
:'-(	-2.4	0.66332	[-2, -1, -2, -3, -2, -3, -3, -3, -2, -3]
:'-)	2.7	0.64031	[2, 1, 3, 3, 3, 3, 3, 3, 3, 3]
:(	-1.9	1.13578	[-2, -3, -2, 0, -1, -1, -2, -3, -1, -4]
:)	2.0	1.18322	[2, 2, 1, 1, 1, 1, 4, 3, 4, 1]
:-(	-1.5	0.5	[-2, -1, -1, -1, -2, -2, -2, -1, -2, -1]
:-)	1.3	0.45826	[1, 1, 1, 1, 2, 1, 2, 1, 2, 1]
:/	-1.4	0.66332	[-1, -1, -1, -1, -1, -1, -3, -2, -2, -1]
:d	2.3	1.1	[4, 2, 2, 1, 2, 1, 4, 3, 3, 1]
:o	-0.4	1.35647	[2, -1, -2, 0, 1, 0, -3, 0, -1, 0]
:p	1.0	0.7746	[-1, 1, 1, 1, 1, 1, 2, 1, 2, 1]
:s	-1.2	0.9798	[-2, -2, -1, -1, -1, 1, -3, -1, -1, -1]
:[	-2.0	0.63246	[-2, -2, -1, -2, -2, -3, -3, -2, -1, -2]
:\	-1.3	0.45826	[-2, -1, -1, -1, -1, -1, -2, -1, -1, -2]
:]	2.2	1.16619	[3, 1, 1, 1, 3, 1, 4, 2, 2, 4]
:^)	2.1	1.13578	[3, 2, 4, 1, 1, 1, 1, 2, 4, 2]
:c	-2.1	0.83066	[-3, -2, -1, -2, -2, -1, -3, -3, -3, -1]
:{	-1.9	0.83066	[-2, -1, -1, -2, -2, -1, -3, -3, -3, -1]
:|	-0.4	1.11355	[-1, -1, 0, -1, -1, -1, 1, -2, 2, 0]
:}	2.1	1.22066	[3, 1, 1, 1, 2, 1, 4, 3, 4, 1]
;)	0.9	1.04403	[2, -1, 1, 1, 1, 1, -1, 2, 2, 1]
;-)	1.0	1.73205	[1, -2, 1, -2, 1, 4, 2, 1, 2, 2]
;-]	0.7	1.67631	[1, -2, 1, -3, 1, 2, 2, 1, 2, 2]
;d	0.8	1.249	[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]
;D	0.8	1.249	[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]
;]	0.6	1.11355	[1, -1, 1, 1, 1, 1, -2, 2, 1, 1]
;^)	1.4	0.91652	[2, 2, 1, 2, 1, 2, -1, 1, 2, 2]
</3	-3.0	1.0	[-3, -3, -4, -3, -4, -1, -2, -2, -4, -4]
<3	1.9	1.13578	[3, 2, 1, 3, 1, 4, 2, 0, 1, 2]
=)	2.2	1.16619	[4, 2, 3, 3, 2, 1, 1, 4, 1, 1]
=-3	2.0	0.63246	[2, 2, 2, 3, 1, 3, 1, 2, 2, 2]
=-d	2.4	0.91652	[2, 2, 1, 3, 2, 4, 2, 4, 2, 2]
=/	-1.4	0.91652	[-1, -1, -1, -1, -1, -2, -1, -1, -4, -1]
=3	2.1	0.7	[3, 1, 2, 1, 2, 3, 2, 2, 3, 2]
=d	2.3	0.45826	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]
=D	2.3	0.45826	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]
=l	-1.2	0.6	[-2, -1, -1, 0, -2, -1, -2, -1, -1, -1]
=\	-1.2	0.6	[-2, -1, -1, 0, -2, -1, -2, -1, -1, -1]
=]	1.6	0.8	[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]
=p	1.3	0.9	[2, 1, 2, 1, 2, -1, 1, 2, 2, 1]
=|	-0.8	0.87178	[-2, -1, -2, 1, 0, -1, 0, -1, -1, -1]
>.<	-1.3	0.45826	[-1, -2, -1, -2, -2, -1, -1, -1, -1, -1]
>:(	-2.7	0.64031	[-2, -3, -2, -3, -3, -2, -4, -2, -3, -3]
>:)	0.4	1.42829	[1, 1, 2, 1, -1, -2, 1, 2, -2, 1]
>:-(	-2.7	0.78102	[-3, -2, -3, -2, -4, -2, -3, -2, -2, -4]
>:-)	-0.4	1.68523	[1, 2, 1, -2, -2, -1, -1, -3, -1, 2]
>:/	-1.6	0.8	[-1, -2, -1, -3, -1, -1, -1, -1, -2, -3]
>:o	-1.2	1.16619	[-3, -1, -2, 0, -2, -2, 0, -1, 1, -2]
>:p	1.0	0.7746	[-1, 1, 1, 2, 1, 2, 1, 1, 1, 1]
>:[	-2.1	0.53852	[-2, -2, -2, -2, -3, -3, -2, -1, -2, -2]
>:\	-1.7	0.64031	[-1, -2, -1, -2, -2, -3, -1, -1, -2, -2]
>;(	-2.9	0.7	[-3, -4, -3, -2, -2, -3, -3, -3, -2, -4]
>;)	0.1	1.04403	[-1, 1, 0, -1, 2, 0, -1, 1, 1, -1]
>_>^	2.1	0.9434	[2, 2, 1, 4, 3, 2, 1, 3, 1, 2]
bff	2.9	0.83066	[3, 3, 4, 2, 4, 2, 2, 3, 4, 2]
d:	-2.9	0.83066	[-3, -3, -3, -3, -2, -4, -1, -3, -3, -4]
d:<	-3.2	0.9798	[-4, -4, -4, -1, -3, -3, -4, -2, -3, -4]
d;	-2.9	0.83066	[-1, -3, -3, -3, -3, -4, -2, -3, -3, -4]
d=	-3.0	0.89443	[-4, -3, -3, -3, -2, -4, -1, -3, -3, -4]
ez	1.5	0.67082	[3, 2, 2, 1, 1, 1, 2, 1, 1, 1]
fav	2.4	0.91652	[3, 1, 3, 2, 2, 3, 1, 2, 3, 4]
ffs	-2.8	0.9798	[-2, -2, -3, -3, -2, -4, -4, -4, -1, -3]
ftw	2.0	0.7746	[2, 1, 1, 2, 2, 2, 3, 3, 1, 3]
fu	-3.7	0.45826	[-3, -4, -4, -3, -3, -4, -4, -4, -4, -4]
gg	1.2	0.74833	[0, 2, 2, 1, 0, 1, 2, 2, 1, 1]
gj	2.0	1.0	[2, 1, 2, 1, 1, 3, 4, 2, 3, 1]
gl	1.3	0.64031	[1, 1, 1, 1, 3, 1, 1, 2, 1, 1]
gr8	2.7	0.78102	[1, 3, 3, 4, 3, 2, 3, 2, 3, 3]
grrr	-0.4	1.42829	[-2, -1, 0, 1, -2, -1, -1, 3, 0, -1]
idk	-0.4	0.66332	[0, 0, 0, 0, -1, -2, 0, 0, 0, -1]
ilu	3.4	0.66332	[3, 4, 3, 4, 2, 3, 4, 3, 4, 4]
ily	3.4	0.66332	[3, 4, 3, 4, 2, 3, 4, 3, 4, 4]
ily2	2.6	0.66332	[3, 2, 3, 2, 3, 2, 3, 4, 2, 2]
jk	0.9	1.22066	[1, 0, 0, 1, 0, 0, 2, 1, 4, 0]
kk	1.5	1.0247	[2, 1, 0, 0, 1, 2, 3, 3, 2, 1]
lmao	2.0	1.18322	[3, 0, 3, 0, 3, 1, 3, 2, 3, 2]
lmfao	2.5	1.28452	[3, 2, 3, 3, 3, -1, 4, 2, 3, 2]
lol	2.9	0.83066	[4, 2, 2, 2, 4, 2, 3, 3, 4, 3]
lolz	2.7	0.78102	[2, 3, 3, 2, 2, 4, 4, 3, 2, 2]
m8	1.4	1.0198	[3, 0, 1, 0, 1, 3, 2, 2, 1, 1]
mofo	-2.4	2.2	[-4, -4, -4, 0, -3, -2, -2, -4, 3, -4]
muah	2.8	1.07703	[1, 2, 4, 4, 4, 2, 4, 2, 2, 3]
n1	1.9	1.04403	[1, 1, 3, 2, 2, 3, 4, 1, 1, 1]
np	1.4	1.0198	[0, 1, 1, 1, 1, 2, 2, 4, 1, 1]
o.o	-0.6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
O.o	-0.6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
o.O	-0.6	0.8	[-1, -1, -2, 0, 1, 0, -1, 0, -1, -1]
o:	-0.2	0.87178	[-1, 0, -1, -2, 0, 1, 0, 1, 0, 0]
o_o	-0.5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
O_o	-0.5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
o_O	-0.5	0.92195	[0, -1, 0, -2, -2, 0, -1, 1, 0, 0]
pls	0.3	0.45826	[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]
plz	0.3	0.45826	[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]
rofl	2.7	0.78102	[3, 2, 2, 2, 4, 4, 2, 3, 3, 2]
roflmao	2.5	1.11803	[4, 2, 2, 4, 1, 1, 2, 4, 3, 2]
rotfl	2.6	0.66332	[3, 2, 3, 3, 1, 3, 3, 3, 2, 3]
rotflmao	2.8	1.07703	[4, 3, 2, 4, 1, 1, 4, 3, 3, 3]
rotflmfao	2.5	1.11803	[3, 4, 1, 3, 3, 3, 0, 3, 2, 3]
s:	-1.1	0.83066	[-1, -1, -2, -2, -1, -1, -2, -1, 1, -1]
sob	-2.8	0.9798	[-3, -4, -3, -2, -2, -1, -2, -4, -4, -3]
tgif	2.3	1.34536	[1, 3, 3, 3, -1, 2, 4, 2, 3, 3]
thx	1.5	0.92195	[0, 1, 3, 2, 1, 2, 1, 1, 3, 1]
tmi	-0.3	1.61555	[-1, -1, 2, -1, 1, -2, -2, -1, 3, -1]
tnx	1.1	0.53852	[2, 1, 1, 0, 1, 1, 2, 1, 1, 1]
true	1.8	1.32665	[2, 1, 1, 0, 1, 4, 3, 1, 4, 1]
ty	1.6	0.66332	[1, 2, 3, 1, 2, 2, 1, 2, 1, 1]
vip	2.3	1.00499	[2, 1, 1, 3, 4, 2, 2, 4, 2, 2]
wp	1.0	0.0	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
wtf	-2.8	0.74833	[-4, -3, -2, -3, -2, -2, -2, -4, -3, -3]
wth	-2.4	0.4899	[-2, -3, -2, -3, -2, -2, -2, -3, -3, -2]
x-d	2.7	0.78102	[1, 3, 4, 2, 3, 3, 3, 2, 3, 3]
x-p	1.8	0.87178	[2, 1, 3, 1, 3, 1, 3, 1, 2, 1]
xd	2.7	0.9	[1, 4, 4, 3, 2, 2, 3, 3, 2, 3]
xoxo	3.0	0.7746	[2, 2, 4, 2, 3, 3, 4, 3, 3, 4]
xp	1.2	0.4	[1, 1, 1, 1, 2, 1, 2, 1, 1, 1]
yolo	1.1	0.83066	[0, 1, 1, 2, 1, 1, 1, 3, 0, 1]
yoyo	0.4	1.85472	[-1, 0, -1, -1, 4, 2, -2, 2, 2, -1]
zzz	-1.2	0.87178	[0, -1, 0, -1, -3, -1, -1, -2, -2, -1]
[-;	0.5	1.28452	[1, -1, -1, 1, 1, 1, 2, -2, 2, 1]
[:	1.3	0.45826	[1, 1, 2, 1, 2, 2, 1, 1, 1, 1]
[;	1.0	1.34164	[2, 1, 2, 2, 1, 2, 2, -2, -1, 1]
[=	1.7	0.64031	[2, 2, 1, 1, 1, 2, 2, 3, 2, 1]
\-:	-1.0	1.18322	[-3, -1, -1, -1, -1, -1, 2, -2, -1, -1]
\:	-1.0	0.0	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
\:<	-1.7	1.18743	[-1, -3, -2, -2, -3, -3, -2, -1, 1, -1]
\=	-1.1	0.3	[-1, -1, -1, -1, -1, -1, -1, -2, -1, -1]
\o/	2.2	0.9798	[2, 1, 1, 2, 4, 2, 2, 4, 2, 2]
överge	-1.9	0.53852	[-1, -2, -2, -2, -2, -3, -2, -2, -1, -2]
övergiven	-2.0	1.09545	[-1, -1, -3, -2, -1, -4, -1, -3, -3, -1]
övergett	-1.9	0.83066	[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]
att överge	-1.6	0.8	[-3, -2, -3, -2, -1, -1, -1, -1, -1, -1]
övergivenhet	-2.4	1.0198	[-4, -2, -1, -4, -2, -1, -2, -3, -3, -2]
överger	-1.3	0.9	[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]
bortförd	-2.3	1.18743	[-3, -1, 0, -3, -1, -3, -4, -2, -3, -3]
bortförande	-2.8	0.87178	[-4, -3, -3, -4, -1, -3, -2, -2, -3, -3]
kidnappningar	-2.0	1.41421	[-3, -4, -1, -3, -1, -3, 1, -2, -1, -3]
avsky	-2.9	0.7	[-3, -3, -4, -2, -3, -3, -4, -2, -3, -2]
avskydde	-2.4	1.49666	[-4, -4, 0, -3, -2, -1, -4, -3, -3, 0]
motbjudande	-3.1	1.3	[-4, -4, -4, -2, 0, -4, -2, -3, -4, -4]
avskyr	-2.9	1.51327	[0, -4, -3, -3, -4, -4, 0, -4, -3, -4]
förmågor	1.0	0.63246	[1, 2, 0, 1, 0, 1, 1, 1, 1, 2]
förmåga	1.3	0.64031	[1, 1, 1, 0, 1, 2, 2, 2, 2, 1]
ombord	0.1	0.3	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
frånvarande	-1.1	0.53852	[-1, -1, 0, -2, -1, -1, -2, -1, -1, -1]
frikänna	1.6	0.8	[3, 1, 2, 1, 1, 2, 3, 1, 1, 1]
befrias	1.5	0.92195	[3, 1, 2, 1, 0, 2, 3, 1, 1, 1]
frikänner	1.6	1.90788	[3, -2, 1, 2, 3, 4, 0, 3, -1, 3]
missbruk	-3.2	0.6	[-4, -2, -3, -4, -3, -4, -3, -3, -3, -3]
missbrukas	-2.3	0.64031	[-2, -2, -3, -2, -2, -4, -2, -2, -2, -2]
missbrukare	-2.6	0.4899	[-3, -2, -3, -3, -2, -3, -2, -2, -3, -3]
missbruka	-2.0	1.41421	[-1, -2, -2, -4, -4, -2, -3, -1, 1, -2]
otillbörligen	-2.8	0.6	[-3, -4, -3, -2, -3, -2, -2, -3, -3, -3]
acceptera	1.6	0.91652	[2, 1, 2, 1, 1, 2, 4, 1, 1, 1]
acceptiteter	1.6	0.66332	[0, 2, 2, 2, 1, 2, 2, 2, 1, 2]
godtagbarhet	1.1	0.53852	[1, 0, 1, 2, 1, 2, 1, 1, 1, 1]
godtagbar	1.3	0.45826	[1, 2, 1, 1, 1, 2, 1, 1, 2, 1]
acceptabelt	1.5	0.67082	[3, 2, 1, 1, 1, 2, 1, 1, 2, 1]
godkännande	2.1	0.53852	[2, 2, 2, 2, 2, 1, 3, 3, 2, 2]
acceptanten	1.6	0.8	[0, 1, 2, 2, 2, 1, 2, 1, 3, 2]
acceptans	1.3	0.78102	[0, 1, 2, 1, 1, 1, 1, 3, 2, 1]
acceptationer	0.9	0.83066	[1, 2, 0, 2, 0, 1, 0, 2, 1, 0]
accepterad	1.1	0.3	[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]
accepterar	1.3	0.45826	[1, 2, 1, 1, 1, 2, 2, 1, 1, 1]
olycka	-2.4	0.91652	[-4, -3, -3, -2, -1, -2, -3, -1, -2, -3]
tillfällig	0.8	0.74833	[1, 1, 0, 1, 0, 2, 0, 1, 2, 0]
av misstag	-1.4	0.91652	[-2, 0, -2, 0, -3, -1, -1, -1, -2, -2]
olyckor	-1.3	0.78102	[-1, -1, -1, -1, -2, 0, -3, -1, -2, -1]
skicklig	1.9	0.53852	[2, 2, 2, 1, 2, 2, 3, 1, 2, 2]
åstadkommer	1.7	0.9	[2, 2, 1, 0, 2, 3, 3, 1, 1, 2]
anklagelse	-1.0	1.09545	[-1, -1, -2, -2, -2, -1, -1, -1, 2, -1]
anklagelser	-1.3	1.26886	[-2, -2, -1, -3, -2, -1, -1, 2, -2, -1]
anklaga	-0.8	1.53623	[-3, -1, -1, -2, 1, -2, 1, -2, 2, -1]
den anklagade	-1.2	1.46969	[-2, -1, -2, 2, -2, -3, -2, -2, -1, 1]
anklagar	-1.4	1.0198	[-2, -1, -2, 1, -2, -3, -1, -2, -1, -1]
anklagande	-0.7	1.34536	[-2, -1, -1, 1, -3, -1, -1, 2, -1, 0]
värk	-1.6	1.2	[-1, -2, -2, -2, -1, -4, -1, 1, -2, -2]
värkte	-1.6	0.8	[-2, -2, -1, -2, -1, -2, -3, 0, -1, -2]
uppnåeliga	1.3	0.45826	[2, 1, 1, 1, 1, 1, 1, 2, 2, 1]
värkande	-2.2	0.74833	[-2, -3, -2, -1, -3, -3, -2, -3, -1, -2]
frikändes	1.0	0.89443	[2, 2, 1, 1, 2, 0, 1, 1, -1, 1]
bitter	-1.7	1.73494	[-1, -3, -2, -3, 3, -3, -1, -2, -2, -3]
aktiva	1.7	1.26886	[1, 2, 1, 1, 1, 4, 2, 4, 0, 1]
aktivt	1.3	0.78102	[0, 1, 0, 2, 2, 1, 1, 2, 2, 2]
aktivitet	2.0	1.09545	[3, 4, 2, 2, 0, 1, 2, 3, 2, 1]
aktivenesses	0.8	0.74833	[2, 0, 1, 0, 0, 0, 1, 2, 1, 1]
tillräcklig	0.9	0.7	[0, 0, 1, 1, 0, 2, 1, 1, 2, 1]
beundrabilitet	2.4	0.4899	[2, 3, 3, 3, 3, 2, 2, 2, 2, 2]
beundransvärt	2.6	0.66332	[2, 3, 3, 3, 4, 3, 2, 2, 2, 2]
amiral	1.3	1.18743	[0, 0, 1, 3, 3, 2, 2, 0, 2, 0]
amiraler	1.5	0.80623	[2, 2, 0, 2, 2, 0, 1, 2, 2, 2]
admiraliteter	1.6	0.66332	[2, 2, 2, 1, 0, 2, 2, 2, 1, 2]
amiralitetet	1.2	1.53623	[0, 4, 0, 0, 0, 2, 2, 3, 2, -1]
beundran	2.5	0.80623	[3, 1, 1, 3, 3, 2, 3, 3, 3, 3]
admira	1.6	0.66332	[2, 2, 1, 1, 2, 2, 2, 2, 2, 0]
beundra	2.1	0.83066	[3, 3, 1, 3, 3, 2, 1, 2, 1, 2]
beundrad	2.3	0.78102	[4, 2, 2, 2, 2, 2, 3, 3, 1, 2]
beundrare	1.8	0.74833	[2, 1, 1, 2, 3, 2, 3, 1, 1, 2]
beundrar	1.5	0.67082	[3, 1, 1, 2, 1, 2, 2, 1, 1, 1]
beundrande	2.6	0.66332	[2, 3, 3, 3, 1, 3, 3, 2, 3, 3]
erkänna	0.8	1.07703	[0, 0, 0, 0, 0, 1, 3, 2, 2, 0]
medger	1.2	0.87178	[1, 2, 2, 2, 0, 0, 1, 2, 0, 2]
antagen	0.4	0.66332	[0, 1, 0, 1, 0, 0, 2, 0, 0, 0]
förmanade	-1.9	0.9434	[-2, -2, -2, -1, -2, -3, -1, -1, -1, -4]
anta	0.7	0.64031	[0, 0, 1, 1, 1, 0, 1, 0, 1, 2]
antar	0.7	0.64031	[0, 0, 1, 2, 1, 0, 1, 1, 0, 1]
förtjusande	2.2	0.6	[3, 2, 2, 3, 2, 2, 1, 3, 2, 2]
gullighetens	2.5	0.67082	[2, 3, 3, 2, 3, 2, 1, 3, 3, 3]
bedårande	2.1	0.7	[3, 1, 2, 3, 2, 2, 1, 3, 2, 2]
tillbedjan	2.9	0.7	[3, 3, 3, 2, 3, 3, 4, 2, 4, 2]
älska	2.6	0.91652	[3, 3, 1, 2, 3, 3, 3, 4, 1, 3]
ädla	1.8	0.87178	[2, 3, 3, 2, 2, 1, 1, 0, 2, 2]
tillbedjare	2.1	0.7	[3, 2, 1, 2, 2, 2, 3, 2, 3, 1]
avgudar	1.6	0.66332	[2, 1, 3, 2, 2, 1, 1, 1, 2, 1]
smycka	0.9	0.53852	[1, 1, 1, 0, 2, 1, 1, 0, 1, 1]
utsmyckad	0.8	1.249	[1, 1, 0, 2, -1, 3, -1, 2, 1, 0]
pryder	1.0	0.7746	[0, 0, 1, 1, 1, 2, 2, 1, 0, 2]
